,Year,GP,SafetyCarOccurred,FirstDeploymentLap,StartLap,EndLap,SafetyCarDuration
0,2019,Bahrain,True,54.0,54.0,57.0,4.0
1,2019,Saudi Arabia,False,,,,0
2,2019,Australia,False,,,,0
3,2019,Japan,False,,,,0
4,2019,China,False,,,,0
5,2019,Miami,False,,,,0
6,2019,Imola,False,,,,0
7,2019,Monaco,True,10.0,10.0,14.0,5.0
8,2019,Spain,True,44.0,44.0,52.0,9.0
9,2019,Canada,False,,,,0
10,2019,Austria,False,,,,0
11,2019,Great Britain,True,20.0,20.0,23.0,4.0
12,2019,Hungary,False,,,,0
13,2019,Belgium,True,0.0,0.0,4.0,5.0
14,2019,Netherlands,False,,,,0
15,2019,Azerbaijan,False,,,,0
16,2019,Singapore,True,35.0,35.0,51.0,17.0
17,2019,Austin,False,,,,0
18,2019,Mexico,False,,,,0
19,2019,Brazil,True,51.0,51.0,69.0,19.0
20,2019,Qatar,False,,,,0
21,2019,Abu Dhabi,False,,,,0
22,2019,Monza,False,,,,0
23,2020,Bahrain,True,3.0,3.0,57.0,55.0
24,2020,Saudi Arabia,True,11.0,11.0,13.0,3.0
25,2020,Australia,True,20.0,20.0,60.0,41.0
26,2020,Japan,False,,,,0
27,2020,China,True,0.0,0.0,5.0,6.0
28,2020,Miami,False,,,,0
29,2020,Imola,True,50.0,50.0,57.0,8.0
30,2020,Monaco,True,18.0,18.0,26.0,9.0
31,2020,Spain,False,,,,0
32,2020,Canada,True,0.0,0.0,45.0,46.0
33,2020,Austria,True,20.0,20.0,60.0,41.0
34,2020,Great Britain,True,1.0,1.0,18.0,18.0
35,2020,Hungary,False,,,,0
36,2020,Belgium,True,10.0,10.0,14.0,5.0
37,2020,Netherlands,True,43.0,43.0,49.0,7.0
38,2020,Azerbaijan,True,20.0,20.0,60.0,41.0
39,2020,Singapore,False,,,,0
40,2020,Austin,True,20.0,20.0,60.0,41.0
41,2020,Mexico,True,0.0,0.0,45.0,46.0
42,2020,Brazil,True,3.0,3.0,57.0,55.0
43,2020,Qatar,True,20.0,20.0,60.0,41.0
44,2020,Abu Dhabi,True,11.0,11.0,13.0,3.0
45,2020,Monza,True,18.0,18.0,26.0,9.0
46,2021,Bahrain,True,0.0,0.0,3.0,4.0
47,2021,Saudi Arabia,True,9.0,9.0,13.0,5.0
48,2021,Australia,False,,,,0
49,2021,Japan,True,8.0,8.0,10.0,3.0
50,2021,China,False,,,,0
51,2021,Miami,True,1.0,1.0,33.0,33.0
52,2021,Imola,True,1.0,1.0,33.0,33.0
53,2021,Monaco,False,,,,0
54,2021,Spain,True,8.0,8.0,10.0,3.0
55,2021,Canada,True,8.0,8.0,10.0,3.0
56,2021,Austria,False,,,,0
57,2021,Great Britain,True,0.0,0.0,2.0,3.0
58,2021,Hungary,True,0.0,0.0,2.0,3.0
59,2021,Belgium,False,,,,0
60,2021,Netherlands,False,,,,0
61,2021,Azerbaijan,True,30.0,30.0,48.0,19.0
62,2021,Singapore,True,0.0,0.0,2.0,3.0
63,2021,Austin,False,,,,0
64,2021,Mexico,True,0.0,0.0,4.0,5.0
65,2021,Brazil,True,5.0,5.0,9.0,5.0
66,2021,Qatar,False,,,,0
67,2021,Abu Dhabi,True,52.0,52.0,57.0,6.0
68,2021,Monza,True,25.0,25.0,30.0,6.0
69,2022,Bahrain,True,44.0,44.0,50.0,7.0
70,2022,Saudi Arabia,True,16.0,16.0,20.0,5.0
71,2022,Australia,True,3.0,3.0,26.0,24.0
72,2022,Japan,True,0.0,0.0,2.0,3.0
73,2022,China,True,48.0,48.0,54.0,7.0
74,2022,Miami,True,40.0,40.0,46.0,7.0
75,2022,Imola,True,0.0,0.0,4.0,5.0
76,2022,Monaco,True,1.0,1.0,30.0,30.0
77,2022,Spain,False,,,,0
78,2022,Canada,True,48.0,48.0,54.0,7.0
79,2022,Austria,False,,,,0
80,2022,Great Britain,True,38.0,38.0,43.0,6.0
81,2022,Hungary,False,,,,0
82,2022,Belgium,True,2.0,2.0,4.0,3.0
83,2022,Netherlands,True,54.0,54.0,60.0,7.0
84,2022,Azerbaijan,False,,,,0
85,2022,Singapore,True,7.0,7.0,39.0,33.0
86,2022,Austin,True,18.0,18.0,25.0,8.0
87,2022,Mexico,False,,,,0
88,2022,Brazil,True,0.0,0.0,59.0,60.0
89,2022,Qatar,False,,,,0
90,2022,Abu Dhabi,False,,,,0
91,2022,Monza,True,47.0,47.0,53.0,7.0
92,2023,Bahrain,False,,,,0
93,2023,Saudi Arabia,True,17.0,17.0,20.0,4.0
94,2023,Australia,True,0.0,0.0,55.0,56.0
95,2023,Japan,True,1.0,1.0,4.0,4.0
96,2023,China,True,12.0,12.0,16.0,5.0
97,2023,Miami,False,,,,0
98,2023,Imola,False,,,,0
99,2023,Monaco,False,,,,0
100,2023,Spain,False,,,,0
101,2023,Canada,True,12.0,12.0,16.0,5.0
102,2023,Austria,True,1.0,1.0,3.0,3.0
103,2023,Great Britain,True,33.0,33.0,38.0,6.0
104,2023,Hungary,False,,,,0
105,2023,Belgium,False,,,,0
106,2023,Netherlands,True,16.0,16.0,66.0,51.0
107,2023,Azerbaijan,True,10.0,10.0,13.0,4.0
108,2023,Singapore,True,19.0,19.0,22.0,4.0
109,2023,Austin,False,,,,0
110,2023,Mexico,True,32.0,32.0,35.0,4.0
111,2023,Brazil,True,0.0,0.0,2.0,3.0
112,2023,Qatar,True,0.0,0.0,4.0,5.0
113,2023,Abu Dhabi,False,,,,0
114,2023,Monza,False,,,,0
